"stopTag","stopName","latitude","longitude","routeTags"
"6332","Cummer Ave At Willowdale Ave","43.78874","-79.40978","42"
"9303","Weston Rd At Bushey Ave","43.68385","-79.48334","89"
"9466","Pharmacy Ave At Sheppard Ave East North Side","43.77707","-79.31795","167"
"7019","60 Belfield Rd","43.70352","-79.56931","45"
"4588","The West Mall At Sherway Dr - Trillium Health Centre (South Stop)","43.60942","-79.55981","123,15,315"
"1049","Don Mills Rd At Gateway Blvd (South) North Side","43.71096","-79.33466","25,325,925"
"3131","Ossington Ave At Queen St West North Side","43.64483","-79.419","363,63"
"5360","Bloor St West At Dovercourt Rd","43.66124","-79.42928","300"
"296","Dundas St West At Jane St East Side","43.66558","-79.49043","312"
"7367","Mt Pleasant Rd At Davisville Ave","43.70021","-79.3868","74"
"10389","Eglinton Ave East At Pharmacy Ave","43.72586","-79.29717","34,334"
"1251","Markham Rd At 16th Ave","43.89217","-79.26428","102"
"5860","The Westway At Fulford Pl","43.6865","-79.552","52"
"6760","Burnhamthorpe Rd At The West Mall","43.64475","-79.56704","50"
"1107","Warden Ave At Kingston Rd North Side","43.68819","-79.27104","69"
"5187","Royal York Rd At The Westway","43.69635","-79.53294","73"
"10442","3750 Midland Ave","43.81602","-79.29275","57"
"14795","174 Fenmar Dr","43.76118","-79.55257","36"
"1433","Dupont St At Spadina Rd West Side - Dupont Station","43.67489","-79.40741","26"
"1731","Willowdale Ave At Centre Ave","43.79294","-79.41175","98"
"3161","Flemington Rd At Replin Rd","43.71955","-79.44281","109"
"4596","Don Mills Rd At Sheppard Ave East","43.77549","-79.3474","25,325"
"2791","Finch Ave East At Au Large Blvd - Seneca College","43.79399","-79.34957","39,339,939"
"568","McCowan Rd At Steeles Ave East South Side","43.83029","-79.27516","302,129"
"6603","Bellamy Rd North At Lynnbrook Dr","43.77276","-79.24139","9"
"4540","McNicoll Ave At Clansman Blvd","43.80193","-79.36323","42"
"5191","1200-1202 York Mills Rd","43.75913","-79.33389","91,95,395"
"5135","McLevin Ave At Tapscott Rd West Side","43.80491","-79.2272","131"
"1125","Lawrence Ave West At Marlee Ave","43.71543","-79.44676","352,59,52"
"7555","Yonge St At Blythwood Rd","43.71627","-79.40026","320,97"
"5742","Upper Highland Cres At Owen Blvd","43.74835","-79.39749","78"
"9292","220 Wicksteed Ave","43.71316","-79.34787","88"
"3693","Bloor St West At St George St","43.66761","-79.39968","300"
"6348","St Regis Cres North At Ceramic Rd","43.75655","-79.48381","107"
"1596","Bellamy Rd North At Painted Post Dr","43.76059","-79.23627","9"
"1665","Birchmount Rd At Danforth Ave","43.69722","-79.26419","69,20"
"5622","Steeles Ave East At Conacher Dr","43.80237","-79.40076","353,53"
"4578","1095 Bellamy Rd North","43.77602","-79.2421","9"
"3305","Midland Ave At Ellesmere Rd","43.76814","-79.27131","57,903"
"4054","Sheppard Ave West At Wilson Heights Blvd","43.75182","-79.45659","984,84,384"
"771","Maybrook Dr At McNicoll Ave North Side","43.82202","-79.25955","130,42"
"6623","Cosburn Ave At Roblin Ave","43.69539","-79.32244","87"
"5662","Broadview Ave At Bater Ave","43.68696","-79.35578","322,8,87"
"795","Dixon Rd At Islington Ave East Side","43.6971","-79.54598","352,952,52"
"7226","Weston Rd At Lanyard Rd","43.74818","-79.54142","165,989"
"1408","Corporate Dr At Lee Centre Dr (West)","43.78043","-79.24714","134"
"3303","Sheppard Ave East At Longmore St","43.76471","-79.39686","385,85"
"14574","Thirtieth St At Akron Rd","43.59992","-79.53165","110"
"2649","572 Trethewey Dr","43.69683","-79.4914","32"
"7639","Queen St West At Strachan Ave","43.64542","-79.41305","301,501"
"15126","Bathurst St At Carr St","43.6486","-79.40443","511,307"
"7108","Dufferin St At Jane Osler Blvd - Yorkdale Shopping Centre","43.72474","-79.4573","929,29,329"
"3965","Danforth Rd At Cotton Ave East Side","43.7125","-79.26209","113,300"
"15264","400 Burnhamthorpe Rd","43.64699","-79.55647","50"
"3762","Gerrard St East At Carlaw Ave","43.66749","-79.343","306,505,506"
"2579","Warden Ave At Bertrand Ave","43.73326","-79.28993","68"
"2181","Bathurst St At Dundas St West - Toronto Western Hospital","43.65248","-79.40618","511,307"
"14251","Lawrence West Station","43.71563","-79.44391","59,109"
"6662","Kennedy Rd At Bonis Ave South Side","43.78521","-79.28939","343,43"
"1322","Dundas St West At Willard Ave West Side","43.665718","-79.48866","312,40"
"2163","McLevin Ave At Empringham Dr East Side","43.8097","-79.21069","131"
"300","Dundas St West At Dundas West Outer Platform","43.65677","-79.45325","505"
"5909","Birchmount Rd At Modern Rd","43.74394","-79.28327","17"
"3629","Calvington Dr At Forthbridge Cres","43.72804","-79.50371","120"
"9827","Steeles Ave East At Bathurst St","43.79271","-79.44514","353,960,60"
"3661","Lawrence Ave East At Bennett Rd","43.77272","-79.16665","354,954,86,54"
"1179","1420 Kennedy Rd","43.76363","-79.28057","343,43"
