"stopTag","latitude","longitude","routeTags"
"628","43.74997","-79.55162","36"
"3067","43.74918","-79.51023","108"
"9341","43.70332","-79.53167","73"
"8243","43.74062","-79.21767","102"
"4483","43.73857","-79.38242","11"
"2342","43.64963","-79.42963","505"
"4336","43.79693","-79.24741","131"
"14301_ar","43.66866","-79.39805","26"
"7217","43.65635","-79.36135","301,501"
"24490","43.82956","-79.25344","42"
"1502","43.80918","-79.32215","68,324"
"3817","43.63087","-79.49125","66"
"5741","43.76865","-79.25034","16,302"
"23891","43.64661","-79.38927","304,503,504,508"
"9442_IB","43.81714","-79.23213","134"
"779","43.66619","-79.31679","301,501,503,505"
"837","43.79256","-79.44456","7,307"
"7193","43.65142","-79.36297","121"
"2095","43.69233","-79.44077","363,63"
"7557","43.76014","-79.247","16,302"
"6505","43.65563","-79.44186","47"
"3045","43.79964","-79.20315","132"
"3136","43.6515","-79.52603","40"
"7584","43.74345","-79.6034","73"
"2675","43.70666","-79.45541","14"
"5251","43.67852","-79.35848","8,62,87"
"5750","43.78379","-79.28517","385,985,85"
"7754","43.69358","-79.28595","67"
"740","43.67061","-79.48446","79,71"
"3703","43.67859","-79.48379","161"
"500","43.6592","-79.54637","46"
"6965","43.69482","-79.26315","12,69"
"5605","43.72934","-79.40318","320,97"
"4967","43.6891","-79.51452","79"
"8949","43.69549","-79.3784","88"
"5069","43.68199","-79.42359","312,126,512"
"6472","43.72998","-79.41884","61"
"6872","43.80729","-79.16271","85"
"3143","43.60225","-79.53273","110"
"5849","43.8984","-79.29187","129"
"954","43.64349","-79.40505","304,504,508"
"1504","43.76147","-79.29072","17"
"5280","43.75948","-79.27889","343,43"
"6889","43.79605","-79.41326","98"
"2884","43.67702","-79.48949","71"
"9831","43.71078","-79.29691","24,324"
"585","43.70999","-79.64977","52"
"5841","43.7106","-79.29659","24,324"
"9794","43.75751","-79.23561","354,54"
"3173","43.90046","-79.26622","102"
"7488","43.7496","-79.37889","122,115,95,395"
"1477","43.78221","-79.39138","11"
"5123","43.71734","-79.46813","47"
"9672","43.73196","-79.61503","36,336,96"
"498","43.63731","-79.47047","77,80"
"6503","43.80194","-79.32985","167"
"7261","43.70305","-79.30481","23"
"3825","43.73627","-79.34629","162"
"2035","43.77362","-79.44272","7,307,160"
"9032","43.67582","-79.30588","322,503"
"1753","43.78348","-79.29912","17"
"6149","43.81882","-79.21536","116"
"2027","43.79362","-79.23938","385,985,85"
"3794","43.75787","-79.3994","78"
"8068","43.64318","-79.39403","310,510"
"3515","43.70688","-79.44301","109"
"1037","43.69931","-79.60137","112"
"2431","43.6913","-79.32319","62"
"6245","43.78062","-79.23895","134"
"4598","43.67304","-79.28534","301,501"
"4562_ar","43.82431","-79.25174","42"
"10248","43.75804","-79.42615","984,84,384"
"4455","43.67521","-79.45489","312,512"
"1000","43.64081","-79.56523","112,300"
"14224","43.65565","-79.45957","80"
"5958","43.74154","-79.53085","84"
"4254","43.63162","-79.53121","44"
"8717","43.69842","-79.31841","91,93"
"3617","43.67738","-79.55115","45,945"
"9095","43.69285","-79.33424","322,87"
"14211_ar","43.78127","-79.41513","39"
"9445","43.70615","-79.25117","12,302"
"8161","43.66001","-79.3824","320,97"
"10149","43.71945","-79.2951","67"
"4624","43.69979","-79.48435","59"
"4091","43.80997","-79.34235","39"
"7706","43.77783","-79.46895","105,329"
"4043","43.69831","-79.52308","352,952,52"
"3646","43.79539","-79.4324","353,60"
"4784","43.70894","-79.52798","59"
"1027","43.7403","-79.58042","45,945"
"6013","43.72288","-79.59744","37"
"4098","43.68738","-79.5494","52"
"4501_IB","43.76941","-79.53748","84"
"9648","43.71246","-79.36975","34,56,354,334,51,54"
"4125","43.76426","-79.52665","35"
"9865","43.69475","-79.30068","87"
"730","43.69919","-79.39201","11,28"
"3866","43.60057","-79.51784","44,944"
"7538","43.71196","-79.43016","14"
"4097","43.69769","-79.50213","32"
"9915","43.65858","-79.4238","94"
"10259","43.69938","-79.51972","352,79,52"
"853","43.72148","-79.37772","11"
"1067","43.66235","-79.40588","94"
"14683","43.70493","-79.39854","320"
"8748","43.78529","-79.16109","38"
"7349","43.61691","-79.49878","76"
"14311","43.71101","-79.27987","17"
"2914","43.81059","-79.23566","134"
"5367","43.71018","-79.50028","59"
"8112","43.68404","-79.3207","300"
"3423","43.65713","-79.4481","300"
"15142","43.65673","-79.35625","304,503,504,72"
"1835","43.77057","-79.33015","24,167"
"9999","43.78773","-79.36759","51"
"10357","43.64623","-79.52675","40"
"15370","43.72724","-79.34089","354,25,325,925"
"9402","43.73421","-79.34014","162"
"9677","43.75411","-79.26608","57"
"5054","43.66685","-79.49421","79"
"10425","43.73154","-79.41917","61"
"1170","43.73572","-79.52981","84,384"
"4667_ar","43.74677","-79.63216","73"
"3366","43.75685","-79.34155","95,395"
"2069","43.7026","-79.29685","23"
"9480","43.7001","-79.27263","113,300"
"7427","43.75809","-79.489","107"
"3321","43.6948","-79.44974","929,29,329"
"1760","43.76043","-79.3864","11"
"6373","43.78543","-79.20611","133,334"
"7967","43.65739","-79.38452","19"
